Date,OpenPrice,HighestPrice,LowestPrice,ClosePrice
20190701,10821.30,10914.85,10821.30,10895.46
20190702,10878.01,10888.21,10843.64,10865.12
20190703,10793.10,10812.65,10720.66,10743.77
20190704,10755.87,10791.28,10750.90,10775.90
20190705,10785.85,10812.38,10756.67,10785.73
20190708,10742.81,10781.11,10708.92,10751.22
20190709,10729.83,10733.57,10680.85,10702.78
20190710,10723.23,10810.16,10723.23,10798.48
20190711,10817.60,10856.51,10799.65,10843.42
20190712,10855.16,10867.59,10823.89,10824.35
20190715,10819.92,10880.56,10769.57,10876.43
20190716,10865.00,10899.84,10865.00,10886.05
20190717,10861.11,10861.11,10804.34,10828.48
20190718,10821.92,10835.43,10792.27,10799.28
20190719,10861.99,10919.96,10861.99,10873.19
20190722,10910.50,10949.76,10909.15,10944.53
20190723,10963.86,10994.44,10932.53,10947.26
20190724,10969.74,10976.46,10912.92,10935.76
20190725,10892.25,10945.92,10879.40,10941.41
20190726,10898.25,10907.44,10879.24,10891.98
20190729,10872.63,10905.74,10863.33,10885.73
20190730,10909.98,10927.16,10827.74,10830.90
20190731,10824.15,10835.80,10754.07,10823.81
20190801,10773.06,10773.25,10714.73,10731.75
20190802,10641.28,10641.28,10524.68,10549.04
20190805,10528.87,10542.49,10418.25,10423.41
20190806,10304.88,10425.60,10180.04,10394.75
20190807,10422.89,10461.37,10366.54,10386.18
20190808,10383.62,10500.77,10383.62,10494.49
20190812,10491.79,10514.05,10440.77,10472.36
20190813,10436.62,10436.62,10361.89,10362.66
20190814,10444.50,10518.02,10427.73,10427.73
20190815,10374.75,10374.75,10287.76,10327.13
20190816,10345.42,10456.32,10318.37,10420.89
20190819,10449.39,10516.05,10449.39,10488.75
20190820,10508.42,10538.12,10497.13,10522.50
20190821,10526.87,10545.25,10504.49,10525.80
20190822,10560.01,10596.41,10515.72,10529.78
20190823,10526.15,10541.73,10503.07,10538.11
20190826,10453.40,10453.40,10340.15,10354.57
20190827,10386.21,10431.78,10368.96,10387.23
20190828,10397.60,10456.30,10397.60,10434.29
20190829,10440.15,10466.99,10406.49,10462.43
20190830,10504.28,10618.05,10504.28,10618.05
20190902,10613.19,10634.85,10589.42,10634.85
20190903,10629.22,10650.15,10557.03,10558.21
20190904,10566.32,10670.43,10566.32,10657.31
20190905,10718.40,10766.60,10714.27,10756.93
20190906,10783.46,10803.07,10753.45,10780.64
20190909,10808.68,10829.44,10778.15,10801.14
20190910,10791.95,10810.03,10732.78,10753.58
20190911,10787.65,10815.59,10746.87,10790.35
20190912,10830.25,10862.68,10804.02,10827.55
20190916,10822.69,10898.13,10822.69,10898.13
20190917,10908.85,10912.23,10866.43,10874.50
20190918,10887.42,10971.54,10878.34,10929.45
20190919,10947.62,10954.18,10874.66,10894.70
20190920,10908.10,10931.76,10903.45,10929.69
20190923,10924.81,10948.19,10905.92,10919.02
20190924,10917.44,10947.53,10886.62,10918.01
20190925,10885.67,10885.67,10825.85,10873.69
20190926,10909.57,10934.91,10856.96,10871.99
20190927,10904.00,10921.17,10827.61,10829.68
20191001,10855.60,10967.65,10855.60,10967.65
20191002,10945.92,10965.20,10927.39,10947.88
20191003,10866.50,10888.40,10809.28,10875.91
20191004,10907.69,10941.49,10854.12,10894.48
20191007,10932.24,10954.45,10919.43,10935.06
20191008,10986.01,11020.51,10986.01,11017.31
20191009,10976.93,10989.39,10889.96,10889.96
20191014,11004.74,11085.49,11004.74,11066.95
20191015,11103.50,11126.45,11091.29,11111.80
20191016,11166.17,11180.11,11113.18,11162.83
20191017,11156.14,11186.88,11131.45,11186.88
20191018,11190.21,11237.38,11154.86,11180.22
